상호명,2025년5월,2025년6월,2025년7월,2025년8월,2025년9월,2025년10월,2025년11월,2025년12월,2026년1월,2026년2월,2026년3월,2026년4월
(주)거보주유소,1495,1490,1512,1514,1496,1514,1609,1619,1555,1566,1841,1977
(주)검단주유소,1498,1509,1542,1544,1545,1561,1639,1647,1593,1596,1858,1976
(주)광역주유소 만석점,1439,1452,1487,1484,1478,1483,1587,1599,1538,1557,1807,1975
(주)늘품오일 한길셀프주유소,1427,1438,1481,1479,1470,1480,1579,1591,1530,1539,1796,1964
(주)다솜에너지 다솜주유소,1464,1475,1496,1498,1493,1496,1612,1613,1550,1565,1814,1966
(주)디오티디 인천랍스터주유소,1447,1454,1480,1478,1478,1481,1589,1600,1538,1526,1819,1960
(주)명진제1주유소,1508,1507,1551,1529,1510,1508,1618,1642,1597,1598,1840,1987
(주)박문석유 구월주유소,1525,1551,1597,1615,1624,1661,1733,1757,1710,1706,1980,2050
(주)백마에너지,1598,1609,1628,1628,1629,1637,1708,1751,1691,1681,1941,2060
(주)보문 가좌주유소,1436,1447,1486,1485,1483,1481,1589,1599,1536,1560,1819,1970
(주)보문 북항IC주유소,1439,1451,1486,1485,1484,1481,1589,1599,1536,1563,1824,1970
(주)삼일에너지,1501,1500,1539,1523,1506,1511,1617,1639,1587,1590,1837,1980
(주)서울에너지 서인천주유소,1447,1456,1480,1484,1478,1481,1590,1600,1538,1526,1808,1955
(주)서해에너지,1479,1508,1527,1539,1518,1518,1617,1657,1575,1586,1854,1995
(주)석산에너지 태양주유소,1437,1453,1488,1484,1478,1483,1589,1599,1536,1557,1839,1954
(주)신진에너지 양정셀프주유소,1459,1467,1485,1473,1482,1504,1632,1678,1549,1535,1887,2030
(주)오성주유소,1671,1680,1708,1704,1697,1710,1741,1813,1785,1773,1891,2000
(주)오일네트워크 인천항훼미리,1456,1467,1496,1482,1480,1478,1598,1618,1555,1571,1815,1980
(주)오일드림주유소,1483,1481,1517,1510,1506,1513,1607,1622,1561,1570,1822,1968
(주)오일리오인천지점,1454,1464,1485,1488,1479,1490,1600,1606,1548,1550,1835,1978
(주)유성주유소,1590,1610,1630,1630,1630,1630,1713,1740,1740,1740,1940,2060
(주)유카스에너지,1447,1451,1481,1481,1478,1471,1577,1595,1534,1528,1805,1960
(주)을왕주유소,1606,1613,1635,1620,1610,1610,1658,1720,1701,1695,1850,1996
(주)인천항주유소,1444,1452,1489,1482,1480,1478,1583,1600,1540,1557,1790,1969
(주)자연에너지 금곡주유소,1447,1455,1480,1478,1478,1481,1590,1600,1538,1525,1801,1959
(주)자연에너지 한강주유소,1447,1457,1480,1484,1478,1481,1590,1600,1538,1526,1808,1959
(주)재원에너지,1470,1466,1492,1487,1489,1500,1603,1609,1555,1558,1838,1981
(주)중앙에너비스 남동공단지점,1479,1478,1508,1503,1504,1501,1603,1632,1570,1557,1810,1955
